Total Respiratory,RSV-like,Influenza-like,COVID-like,Week,Week Ending Date
0.168,0.0111,0.039,0.0429,48,2022-12-03
0.1444,0.0097,0.0311,0.0471,49,2022-12-10
0.1354,0.0083,0.0264,0.053200000000000004,50,2022-12-17
0.1405,0.0084,0.028300000000000002,0.0676,51,2022-12-24
0.1484,0.006999999999999999,0.0275,0.08130000000000001,52,2022-12-31
0.1359,0.0066,0.0222,0.0735,1,2023-01-07
0.1061,0.005,0.0169,0.056299999999999996,2,2023-01-14
0.096,0.0044,0.017,0.0504,3,2023-01-21
0.08990000000000001,0.0042,0.0172,0.0462,4,2023-01-28
0.08960000000000001,0.0042,0.0181,0.044500000000000005,5,2023-02-04
0.092,0.0040999999999999995,0.0199,0.044500000000000005,6,2023-02-11
0.0848,0.0040999999999999995,0.0177,0.0395,7,2023-02-18
0.0802,0.0033,0.0189,0.036000000000000004,8,2023-02-25
0.0718,0.0034999999999999996,0.0178,0.030600000000000002,9,2023-03-04
0.066,0.0033,0.0181,0.0264,10,2023-03-11
0.0684,0.0031,0.019,0.0275,11,2023-03-18
0.0663,0.0032,0.019,0.024900000000000002,12,2023-03-25
0.064,0.0028000000000000004,0.018600000000000002,0.0245,13,2023-04-01
0.058600000000000006,0.0027,0.0173,0.021099999999999997,14,2023-04-08
0.0562,0.0025,0.0158,0.0197,15,2023-04-15
0.0516,0.0024,0.0141,0.0181,16,2023-04-22
0.0493,0.002,0.013500000000000002,0.0166,17,2023-04-29
0.049100000000000005,0.0021,0.0134,0.0165,18,2023-05-06
0.049100000000000005,0.0021,0.0132,0.015600000000000001,19,2023-05-13
0.0493,0.002,0.0125,0.0158,20,2023-05-20
0.046,0.0017000000000000001,0.0128,0.0152,21,2023-05-27
0.0475,0.0018,0.0134,0.015700000000000002,22,2023-06-03
0.0438,0.0015,0.0118,0.013300000000000001,23,2023-06-10
0.0424,0.0014000000000000002,0.0106,0.0139,24,2023-06-17
0.0391,0.0013,0.009399999999999999,0.0127,25,2023-06-24
0.0369,0.0011,0.0087,0.0123,26,2023-07-01
0.0366,0.001,0.0083,0.0132,27,2023-07-08
0.0358,0.001,0.0072,0.0131,28,2023-07-15
0.0405,0.001,0.0078000000000000005,0.0166,29,2023-07-22
0.0415,0.001,0.0074,0.0194,30,2023-07-29
0.0455,0.0013,0.008,0.0219,31,2023-08-05
0.051500000000000004,0.0012,0.0085,0.028300000000000002,32,2023-08-12
0.059500000000000004,0.0013,0.0098,0.0347,33,2023-08-19
0.0682,0.0014000000000000002,0.0103,0.0414,34,2023-08-26
0.0732,0.0017000000000000001,0.011399999999999999,0.0444,35,2023-09-02
0.08470000000000001,0.0026,0.0132,0.0512,36,2023-09-09
0.0867,0.0028000000000000004,0.0149,0.051399999999999994,37,2023-09-16
0.0851,0.0036,0.0152,0.047,38,2023-09-23
0.0776,0.0038,0.0138,0.0397,39,2023-09-30
0.075,0.0049,0.0147,0.0355,40,2023-10-07
0.0738,0.006500000000000001,0.0152,0.0325,41,2023-10-14
0.0742,0.0075,0.017,0.0298,42,2023-10-21
0.0797,0.0102,0.0189,0.0317,43,2023-10-28
0.08560000000000001,0.0139,0.0199,0.0313,44,2023-11-04
0.10039999999999999,0.0165,0.0263,0.034300000000000004,45,2023-11-11
0.109,0.019299999999999998,0.027200000000000002,0.0342,46,2023-11-18
0.1252,0.0226,0.0315,0.0382,47,2023-11-25
0.1391,0.0232,0.0313,0.0405,48,2023-12-02
0.1562,0.022400000000000003,0.0359,0.0406,49,2023-12-09
0.19079999999999997,0.020499999999999997,0.0441,0.0451,50,2023-12-16
0.23440000000000003,0.0207,0.052000000000000005,0.0513,51,2023-12-23
0.2515,0.0194,0.047599999999999996,0.0594,52,2023-12-30
0.193,0.0149,0.0325,0.054400000000000004,1,2024-01-06
0.1516,0.011699999999999999,0.023,0.0472,2,2024-01-13
0.1278,0.0083,0.0206,0.0421,3,2024-01-20
0.1317,0.0074,0.022799999999999997,0.0461,4,2024-01-27
0.1234,0.0073,0.021400000000000002,0.0435,5,2024-02-03
0.122,0.0064,0.0222,0.0461,6,2024-02-10
0.1168,0.005699999999999999,0.022000000000000002,0.0435,7,2024-02-17
0.1134,0.0049,0.0217,0.0409,8,2024-02-24
0.1052,0.0051,0.0215,0.0366,9,2024-03-02
0.0888,0.0049,0.018500000000000003,0.0282,10,2024-03-09
0.0774,0.0046,0.0171,0.0232,11,2024-03-16
0.07339999999999999,0.005,0.0176,0.0218,12,2024-03-23
0.0699,0.0042,0.0175,0.0196,13,2024-03-30
0.0684,0.0034999999999999996,0.016,0.020099999999999996,14,2024-04-06
0.0611,0.0033,0.014199999999999999,0.0177,15,2024-04-13
0.0552,0.0031,0.0131,0.015300000000000001,16,2024-04-20
0.053099999999999994,0.0028000000000000004,0.013300000000000001,0.0138,17,2024-04-27
0.0526,0.0029,0.0139,0.0141,18,2024-05-04
0.049400000000000006,0.0025,0.013600000000000001,0.0131,19,2024-05-11
0.0507,0.0026,0.013500000000000002,0.013300000000000001,20,2024-05-18
0.0481,0.002,0.012,0.013000000000000001,21,2024-05-25
0.046799999999999994,0.002,0.0128,0.013000000000000001,22,2024-06-01
0.0414,0.0017000000000000001,0.0108,0.0124,23,2024-06-08
