Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.069,0.0208,0.0132,0.0035,14,2024-04-06
0.0615,0.0183,0.0095,0.0033,15,2024-04-13
0.0557,0.0159,0.0074,0.0031,16,2024-04-20
0.0537,0.0146,0.0067,0.0028,17,2024-04-27
0.0531,0.0148,0.0063,0.003,18,2024-05-04
0.0499,0.0137,0.0051,0.0025,19,2024-05-11
0.0514,0.0143,0.0061,0.0026,20,2024-05-18
0.0489,0.0137,0.0051,0.002,21,2024-05-25
0.0481,0.0139,0.0046,0.002,22,2024-06-01
0.0458,0.0139,0.0041,0.0019,23,2024-06-08
0.0435,0.014,0.004,0.0016,24,2024-06-15
0.0428,0.0149,0.0037,0.0014,25,2024-06-22
0.0432,0.0163,0.0046,0.0012,26,2024-06-29
0.0444,0.0189,0.0037,0.0011,27,2024-07-06
0.0477,0.0225,0.0041,0.001,28,2024-07-13
0.0526,0.0274,0.0044,0.0012,29,2024-07-20
0.0613,0.0352,0.0048,0.0013,30,2024-07-27
0.0718,0.0454,0.0056,0.0011,31,2024-08-03
0.0792,0.0512,0.006,0.0009,32,2024-08-10
0.0821,0.052,0.0065,0.0014,33,2024-08-17
0.0796,0.0499,0.007,0.0014,34,2024-08-24
0.082,0.0491,0.0074,0.0019,35,2024-08-31
0.0843,0.0486,0.0078,0.0023,36,2024-09-07
0.0847,0.0447,0.0088,0.0029,37,2024-09-14
0.0757,0.0353,0.0079,0.003,38,2024-09-21
0.0675,0.0286,0.0074,0.0027,39,2024-09-28
0.0618,0.0232,0.0065,0.0025,40,2024-10-05
0.0618,0.0217,0.0067,0.0026,41,2024-10-12
0.064,0.0213,0.0076,0.0032,42,2024-10-19
0.0672,0.0219,0.0086,0.0038,43,2024-10-26
0.069,0.0225,0.0087,0.004,44,2024-11-02
0.0694,0.0214,0.0089,0.0048,45,2024-11-09
0.0703,0.0205,0.0093,0.0056,46,2024-11-16
0.0754,0.0217,0.0103,0.0073,47,2024-11-23
0.0794,0.0231,0.0119,0.0103,48,2024-11-30
0.087,0.0241,0.014,0.0115,49,2024-12-07
0.0969,0.0267,0.0213,0.0161,50,2024-12-14
0.1185,0.0333,0.032,0.022,51,2024-12-21
0.152,0.0387,0.0529,0.0277,52,2024-12-28
0.1603,0.0401,0.0586,0.0269,1,2025-01-04
0.1454,0.034,0.0566,0.0212,2,2025-01-11
0.1585,0.0304,0.0781,0.0171,3,2025-01-18
0.1957,0.0332,0.1126,0.0169,4,2025-01-25
0.2126,0.0324,0.1302,0.0147,5,2025-02-01
0.2181,0.0335,0.134,0.0129,6,2025-02-08
0.1819,0.0319,0.099,0.0118,7,2025-02-15
0.1486,0.0291,0.0726,0.0109,8,2025-02-22
0.1256,0.0271,0.0536,0.0089,9,2025-03-01
0.1159,0.0271,0.0472,0.0072,10,2025-03-08
0.1051,0.0276,0.0382,0.007,11,2025-03-15
0.0881,0.0255,0.0272,0.0059,12,2025-03-22
0.0733,0.0229,0.0187,0.0051,13,2025-03-29
