county_names,wwtp_name,population_served,cases_new_cens_per10k,date_new,sars_cov2_raw_copiesL,flag,sars_cov2_normalized
Mecklenburg,Charlotte 1,68685.0,7.57,2021-01-03,,0,
Mecklenburg,Charlotte 2,182501.0,5.420000000000001,2021-01-03,,0,
Pitt,Greenville,89616.0,10.38,2021-01-03,,0,
Carteret,Newport (Data available until - 8/18/21),4774.0,4.19,2021-01-03,,0,
Carteret,Town of Beaufort,3500.0,5.710000000000001,2021-01-03,,0,
Jackson,Tuckaseigee,13296.0,1.5,2021-01-03,,0,
Mecklenburg,Charlotte 1,68685.0,7.13,2021-01-04,,0,
Mecklenburg,Charlotte 2,182501.0,4.33,2021-01-04,119582.607431014,0,48863072.76528
Pitt,Greenville,89616.0,3.91,2021-01-04,,0,
Carteret,Newport (Data available until - 8/18/21),4774.0,4.19,2021-01-04,,0,
Carteret,Town of Beaufort,3500.0,5.710000000000001,2021-01-04,,0,
Jackson,Tuckaseigee,13296.0,1.5,2021-01-04,42988.496600835,0,8934410.21163842
Mecklenburg,Charlotte 1,68685.0,13.100000000000001,2021-01-05,59966.6574022598,0,16458454.8147915
Mecklenburg,Charlotte 2,182501.0,9.97,2021-01-05,,0,
Pitt,Greenville,89616.0,16.400000000000002,2021-01-05,23048.676751605537,0,16258807.5599369
Carteret,Newport (Data available until - 8/18/21),4774.0,12.57,2021-01-05,,0,
Chatham,Pittsboro (Data available until - 5/25/21),4234.0,4.720000000000001,2021-01-05,17375.845303178783,0,16932978.7538053
Carteret,Town of Beaufort,3500.0,14.290000000000001,2021-01-05,0.0,0,311698.22620376
Jackson,Tuckaseigee,13296.0,4.510000000000001,2021-01-05,,0,
New Hanover,Wilmington City,58361.0,9.42,2021-01-05,21385.04150101188,0,5659255.65496744
Orange,Chapel Hill - Carrboro,78141.0,4.1000000000000005,2021-01-06,14207.040508142452,0,6531345.29266412
Mecklenburg,Charlotte 1,68685.0,9.75,2021-01-06,96374.27042525397,0,25494835.6072684
Mecklenburg,Charlotte 2,182501.0,6.96,2021-01-06,90332.71832508966,0,31440074.4066279
Pitt,Greenville,89616.0,9.600000000000001,2021-01-06,,0,
Carteret,Newport (Data available until - 8/18/21),4774.0,10.47,2021-01-06,,0,
Chatham,Pittsboro (Data available until - 5/25/21),4234.0,4.720000000000001,2021-01-06,,0,
Wake,Raleigh,550000.0,10.51,2021-01-06,59966.6574022598,0,24940865.7151835
Durham,South Durham,108105.0,4.63,2021-01-06,21488.60162970126,0,6952582.04623115
Carteret,Town of Beaufort,3500.0,5.710000000000001,2021-01-06,,0,
