county_names,wwtp_name,population_served,cases_new_cens_per10k,date_new,sars_cov2_raw_copiesL,flag,sars_cov2_normalized,STATEFP,COUNTYFP,FIPS,NAMELSAD
Mecklenburg,Charlotte 2,182501,4.33,2021-01-04,119582.607431014,0,48863072.76528,37,119,37119,Mecklenburg County
Jackson,Tuckaseigee,13296,1.5,2021-01-04,42988.496600835,0,8934410.21163842,37,099,37099,Jackson County
Mecklenburg,Charlotte 1,68685,13.1,2021-01-05,59966.6574022598,0,16458454.8147915,37,119,37119,Mecklenburg County
Pitt,Greenville,89616,16.4,2021-01-05,23048.6767516055,0,16258807.5599369,37,147,37147,Pitt County
Chatham,Pittsboro (Data available until - 5/25/21),4234,4.72,2021-01-05,17375.8453031788,0,16932978.7538053,37,037,37037,Chatham County
Carteret,Town of Beaufort,3500,14.29,2021-01-05,0,0,311698.22620376,37,031,37031,Carteret County
New Hanover,Wilmington City,58361,9.42,2021-01-05,21385.0415010119,0,5659255.65496744,37,129,37129,New Hanover County
Orange,Chapel Hill - Carrboro,78141,4.1,2021-01-06,14207.0405081425,0,6531345.29266412,37,135,37135,Orange County
Mecklenburg,Charlotte 1,68685,9.75,2021-01-06,96374.270425254,0,25494835.6072684,37,119,37119,Mecklenburg County
Mecklenburg,Charlotte 2,182501,6.96,2021-01-06,90332.7183250897,0,31440074.4066279,37,119,37119,Mecklenburg County
Wake,Raleigh,550000,10.51,2021-01-06,59966.6574022598,0,24940865.7151835,37,183,37183,Wake County
Durham,South Durham,108105,4.63,2021-01-06,21488.6016297013,0,6952582.04623115,37,063,37063,Durham County
Orange,Chapel Hill - Carrboro,78141,3.2,2021-01-08,28861.7393793236,0,11422926.181823,37,135,37135,Orange County
Pitt,Greenville,89616,7.03,2021-01-08,19691.3686675152,0,11977456.9288717,37,147,37147,Pitt County
Chatham,Pittsboro (Data available until - 5/25/21),4234,4.72,2021-01-08,9020.80927633436,0,6693981.64637409,37,037,37037,Chatham County
Carteret,Town of Beaufort,3500,,2021-01-08,0,0,318124.993754353,37,031,37031,Carteret County
Wake,Raleigh,550000,8.62,2021-01-09,34477.3476358028,0,13086648.9608951,37,183,37183,Wake County
Durham,South Durham,108105,3.98,2021-01-09,34356.5859770729,0,10454319.6396618,37,063,37063,Durham County
Mecklenburg,Charlotte 1,68685,4.22,2021-01-11,41109.609582189,0,11486856.2668698,37,119,37119,Mecklenburg County
Jackson,Tuckaseigee,13296,1.5,2021-01-11,32801.9331442524,0,8124739.83304,37,099,37099,Jackson County
Orange,Chapel Hill - Carrboro,78141,3.97,2021-01-12,65954.5297913646,0,25752090.1089336,37,135,37135,Orange County
Mecklenburg,Charlotte 1,68685,8.01,2021-01-12,72327.3807074472,0,19890841.5808481,37,119,37119,Mecklenburg County
Mecklenburg,Charlotte 2,182501,6.96,2021-01-12,53735.4631505117,0,19772479.8330116,37,119,37119,Mecklenburg County
Pitt,Greenville,89616,9.6,2021-01-12,41231.0562561766,0,23685883.6456545,37,147,37147,Pitt County
Carteret,Newport (Data available until - 8/18/21),4774,4.19,2021-01-12,0,0,325812.331113028,37,031,37031,Carteret County
Chatham,Pittsboro (Data available until - 5/25/21),4234,14.17,2021-01-12,12046.7838031568,0,7754691.70857299,37,037,37037,Chatham County
Carteret,Town of Beaufort,3500,5.71,2021-01-12,0,0,330978.528855539,37,031,37031,Carteret County
Mecklenburg,Charlotte 2,182501,6.36,2021-01-13,62449.979983984,0,22175968.3532754,37,119,37119,Mecklenburg County
Carteret,Newport (Data available until - 8/18/21),4774,4.19,2021-01-13,7541.55156449918,0,3587908.16408736,37,031,37031,Carteret County
Wake,Raleigh,550000,8.67,2021-01-13,59947.894041409,0,20010814.1237471,37,183,37183,Wake County
Durham,South Durham,108105,3.05,2021-01-13,30240.7010500749,0,8714805.25862142,37,063,37063,Durham County
Orange,Chapel Hill - Carrboro,78141,2.69,2021-01-15,14404.8602908879,0,5296434.91024577,37,135,37135,Orange County
Pitt,Greenville,89616,5.58,2021-01-15,29055.1200307278,0,15181636.7543362,37,147,37147,Pitt County
